iter	Passed	Remaining
849	39979	7055
850	40020	7007
851	40061	6959
852	40103	6911
853	40147	6863
854	40193	6816
855	40239	6769
856	40282	6721
857	40326	6674
858	40371	6626
859	40414	6579
860	40454	6531
861	40499	6483
862	40542	6436
863	40582	6388
864	40631	6341
865	40677	6294
866	40725	6247
867	40792	6203
868	40838	6156
869	40903	6112
870	40950	6064
871	40994	6017
872	41036	5969
873	41078	5922
874	41119	5874
875	41158	5826
876	41204	5778
877	41258	5732
878	41309	5686
879	41355	5639
880	41398	5591
881	41440	5544
882	41487	5497
883	41532	5450
884	41579	5403
885	41624	5355
886	41670	5308
887	41716	5261
888	41757	5213
889	41818	5168
890	41860	5120
891	41903	5073
892	41946	5026
893	41987	4978
894	42029	4930
895	42073	4883
896	42120	4836
897	42162	4789
898	42208	4742
899	42249	4694
900	42292	4646
901	42335	4599
902	42379	4552
903	42423	4505
904	42464	4457
905	42504	4409
906	42546	4362
907	42601	4316
908	42645	4269
909	42694	4222
910	42735	4175
911	42787	4128
912	42854	4083
913	42897	4036
914	42940	3988
915	42981	3941
916	43024	3894
917	43066	3846
918	43105	3799
919	43145	3751
920	43187	3704
921	43230	3657
922	43273	3610
923	43315	3562
924	43356	3515
925	43399	3468
926	43439	3420
927	43481	3373
928	43522	3326
929	43565	3279
930	43614	3232
931	43657	3185
932	43701	3138
933	43742	3090
934	43783	3043
935	43828	2996
936	43893	2951
937	43935	2904
938	43978	2856
939	44019	2809
940	44061	2762
941	44101	2715
942	44146	2668
943	44192	2621
944	44234	2574
945	44275	2527
946	44316	2480
947	44358	2433
948	44402	2386
949	44442	2339
950	44483	2292
951	44526	2245
952	44569	2198
953	44615	2151
954	44660	2104
955	44704	2057
956	44746	2010
957	44787	1963
958	44832	1916
959	44875	1869
960	44944	1823
961	44987	1777
962	45029	1730
963	45072	1683
964	45113	1636
965	45158	1589
966	45202	1542
967	45246	1495
968	45287	1448
969	45328	1401
970	45372	1355
971	45413	1308
972	45457	1261
973	45501	1214
974	45543	1167
975	45585	1120
976	45627	1074
977	45668	1027
978	45710	980
979	45752	933
980	45794	886
981	45839	840
982	45882	793
983	45952	747
984	45996	700
985	46039	653
986	46082	606
987	46125	560
988	46174	513
989	46226	466
990	46289	420
991	46355	373
992	46398	327
993	46441	280
994	46483	233
995	46533	186
996	46576	140
997	46625	93
998	46670	46
999	46728	0
